1.000000000000000000e+00,1.200000000000000000e+01,8.697200000000000486e-01,6.697788697788698009e-01
2.000000000000000000e+00,1.200000000000000000e+01,8.691299999999999581e-01,6.697788697788698009e-01
3.000000000000000000e+00,8.000000000000000000e+00,8.688700000000000312e-01,6.717444717444717162e-01
4.000000000000000000e+00,8.000000000000000000e+00,8.688700000000000312e-01,6.717444717444717162e-01
5.000000000000000000e+00,1.000000000000000000e+01,8.686199999999999477e-01,6.692874692874692943e-01
6.000000000000000000e+00,8.000000000000000000e+00,8.688700000000000312e-01,6.717444717444717162e-01
7.000000000000000000e+00,1.000000000000000000e+01,8.686199999999999477e-01,6.692874692874692943e-01
8.000000000000000000e+00,8.000000000000000000e+00,8.688700000000000312e-01,6.717444717444717162e-01
9.000000000000000000e+00,1.000000000000000000e+01,8.686199999999999477e-01,6.692874692874692943e-01
1.000000000000000000e+01,8.000000000000000000e+00,8.688700000000000312e-01,6.717444717444717162e-01
